params,score
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0004198681563138
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.000577570637688
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0122903808951377
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0131121622398495
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0003612295549828
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0007625992293469
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0131119871512055
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0131133329123258
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0001560807431815
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0003926080535165
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0110125821083784
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0131113389506936
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0004184793215245
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0004924783133901
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0125633412972092
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0131113845854997
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0004979807417839
